Place,Type,District,Official Website,Wikipedia,Nearest Railway Station,Nearest Bus Stand,Nearest Metro Station,Nearest Airport,Timings,Entry Fee,Best Time to Visit,Accessibility,Guided Tours,Parking,Nearby Amenities,Special Notes
Kaziranga National Park,National Park / Wildlife Sanctuary,Golaghat / Nagaon Districts,https://kaziranga.nptr.in/,https://en.wikipedia.org/wiki/Kaziranga_National_Park,Helem Railway Station (~depends on range); major junctions are Furkating / Golaghat / Nagaon,Kohora / Bokakhat bus stand (gateway entrance),No metro available,Jorhat Airport (for Central Range) / Tezpur Airport (for Western),9:00 AM – 6:00 PM for regular visitor operations,"Indians ~ ₹50; Foreigners ~ ₹500. Safari fees extra (~₹1,100–₹2,000)",Nov to Apr,Good roads to major entrances; internal tracks may be rough; not particularly wheelchair-friendly,Yes — forest department approved guides; safari/elephant ride/jeep safari with permits,Available at entry gates (e.g. Kohora etc.); charges vary,"Lodges, resorts, restaurants in and around Golaghat / Bokakhat",Famous for one-horned rhino; UNESCO World Heritage Site; safari operations sometimes suspended in monsoon
Nameri National Park,National Park / Wildlife Sanctuary / Eco-Tourism,Sonitpur District,www.assamforest.in,https://en.wikipedia.org/wiki/Nameri_National_Park,Rangapara North Railway Station,Local bus stands in Tezpur region / Rangapar,No metro available,Tezpur Airport (Salonibari),Daily operations; park open throughout the day,Indians ~ ₹20; Foreigners ~ ₹250. Boating fees extra,Nov to Apr,Access roads up to park entry good; internal trails can be moderate; not very accessible for wheelchair,Yes – local guides / forest department guides; rafting guides,Parking available at entry points; small / basic parking,Lodges and guesthouses in Tezpur region; some homestays,Famous for birdwatching; rafting on Jia Bhoroli River; tranquil compared to more crowded parks
Kamakhya Temple,Religious / Hindu Temple / Pilgrimage site,Kamrup Metropolitan / Guwahati,Not documented,https://en.wikipedia.org/wiki/Kamakhya_Temple,Kamakhya Station (~6-7 km) OR Guwahati Railway Station (~7-8 km),Guwahati city bus stands,No metro available,"Lokpriya Gopinath Bordoloi International Airport, Guwahati (~20 km)",Morning: 5:30 AM to ~1:00 PM; Afternoon: ~2:30 PM to ~5:30 PM,General / free darshan; VIP / special darshan pass ~ ₹500,"Oct to Mar; festivals like Ambubachi (June), Durga Puja (Sept/Oct) are major but very crowded",Road access good; hill top requires walk/steep steps; difficult during heavy crowds for mobility-impaired,Local priests / “pandas” help with darshan process; many guides operate in Guwahati,Parking available near temple base / on Nilachal Hill; limited during festivals,"Hotels in Guwahati; eateries, shops, markets",One of the 51 Shakti Peethas; Ambubachi Mela is biggest festival when temple is closed for 3 days
Chandubi Lake,Natural Lake / Picnic Spot / Eco tourism,Kamrup District,Assam Tourism pages / Kamrup district site,https://en.wikipedia.org/wiki/Chandubi_Lake,Guwahati Railway Station (~64 km),Local bus terminus in Kamrup / Guwahati region,No metro available,Guwahati International Airport (~64 km),Open throughout daylight hours; boating etc available seasonally,Not documented clearly; small boat/rowing charges may apply,Winter / post-monsoon (Oct-Feb),Road up to lake region; some forested/uneven paths; not ideal for wheelchair,Local villagers / tourism services may guide,Basic parking at lake entry / nearby village; informal or small charges,Basic guesthouses or homestays; local eateries; shops small scale,Lake was formed after 1897 earthquake; cultural festival (Chandubi Festival) in first week of January; migratory birds in winter
Manas National Park,National Park / Wildlife Sanctuary / Tiger Reserve,Barpeta / Assam–Bhutan border region,Assam Tourism / Manas National Park pages,https://en.wikipedia.org/wiki/Manas_National_Park,Guwahati Railway Station; closer stations like Barpeta Road / Pathsala exist,Local bus stands in Barpeta / Manas gate towns,No metro available,Guwahati Airport is major; also closer small airstrips depending on range,5:30 AM to 6:30 PM approx visitor hours,Indians ~ ₹20; Foreigners ~ ₹250; Safari / Jeep fees etc additional,Nov to Apr,Varies by zone; forests; not wheelchair friendly in many parts,"Yes – wildlife guides, forest dept, safaris, nature walks",Parking at park entrances; basic facilities,Lodges / eco-tourism rest houses near entrances; towns outside offer more services,UNESCO Biosphere Reserve; dense biodiversity; riverine landscapes; endangered species; cross-border habitat with Bhutan
Majuli Island,River island / Cultural / Eco-Tourism / Satras,Majuli,Assam Tourism Majuli pages,https://en.wikipedia.org/wiki/Majuli,Jorhat Railway Station (~approx distance by road + ferry),Bus stand in Jorhat / Nimatighat ferry terminal,No metro available,Jorhat Airport is the closest by flight; then road + ferry,Accessible year-round when river ferry is operational; ferry timings vary,Not documented fixed entry fee; Satras may accept donations; boat/ferry charges separately,Nov to Apr,Access involves road + ferry; river crossings can be affected by monsoon; internal roads may be rural / uneven,Local guides and tour operators provide cultural tours,Parking at ferry terminals; basic,"Homestays, guesthouses; local eateries; shops; cultural performances",Largest river island in the world; major center of Assamese culture and Satriya tradition
Tezpur,City / Heritage Town / Scenic & Cultural attractions,Sonitpur District,Tezpur tourism / Assam tourism pages,https://en.wikipedia.org/wiki/Tezpur,Dekargaon Railway Station (~8-14 km) or Rangapara North,Tezpur ASTC Bus Station; Mission Chariali Bus Stand,No metro available,Tezpur Airport (Salonibari / Sonitpur) (~15 km),Individual attractions vary,For many temples free / donation; parks/gardens small admission fees (e.g. Chitralekha Udyan ~ ₹20),Oct to Mar,Good road connectivity; city infrastructure reasonable; some attractions require walking,Local guides available; heritage walks; English / Assamese,City parking available near major temples / parks,"Hotels, restaurants in Tezpur; shops; cultural centers; tea stalls","Tezpur known for myths (Agnigarh), ancient temples, elegant colonial era architecture"
Sivasagar,Heritage / Historical Monuments / Temples,Sivasagar District,Assam tourism / Sivasagar site,"https://en.wikipedia.org/wiki/Sivasagar,_Assam",Simaluguri Junction / Sivasagar railway station,Sivasagar Town Bus Stand,No metro available,Jorhat Airport (~nearest) / Dibrugarh,Temples & museums / tanks are open daylight,Many heritage sites are free / nominal fee; museums / Ahom monuments may charge small fees,Oct to Mar,Town roads decent; monuments often centrally located; walking required for some,Yes – local history guides; academic/cultural tours,Available in town; near heritage sites / temples,"Hotels, restaurants, shops; local markets; cultural events","Sivasagar was capital of Ahom Kingdom; has famous Rang Ghar, Talatal Ghar, Joysagar Tank etc"
Haflong Hill Station,Hill Station / Natural Landscape / Trekking,Karimganj District,Assam Tourism – Haflong page,https://en.wikipedia.org/wiki/Haflong,Haflong Hill Railway Station (~2–3 km),Haflong ASTC Bus Stand (~2 km),No metro available,Silchar Airport (~110 km),Open year-round; attractions open daylight hours,Not applicable (free to visit town / hills; parks may charge small nominal fee),Oct to Mar,Hill roads; limited wheelchair accessibility; trekking paths for nearby viewpoints,Local guides available for trekking / sightseeing,Available in town centre and at viewpoints,"Resorts, hotels, guesthouses; restaurants; local markets",Assam’s only hill station; known as “Switzerland of the East”
Dibru-Saikhowa National Park,National Park / Wildlife Sanctuary / Eco-Tourism,Tinsukia District,Assam Forest Department – Dibru-Saikhowa,https://en.wikipedia.org/wiki/Dibru-Saikhowa_National_Park,Tinsukia Railway Station (~12 km),Tinsukia Bus Stand (~12 km),No metro available,Dibrugarh Airport (Mohanbari) (~40 km),7:00 AM – 4:00 PM (daily; closed during heavy monsoon),Indians ~ ₹20; Foreigners ~ ₹250; boating charges extra,Nov to Apr,Road till park entry; inside areas accessible by boat safaris & walking trails; not wheelchair-friendly,Yes – boat tours with naturalists; birdwatching guides available,Available at entry points; basic,"Eco camps, lodges near Guijan & Tinsukia; local eateries and rest houses","Known for feral horses, migratory birds, and rich biodiversity; part of Brahmaputra floodplain ecosystem"
