Name of Place,Location,Type,Official Website,Wikipedia,Nearest Railway Station,Nearest Bus Stand,Nearest Metro Station,Nearest Airport,Timings,Entry Fee,Best Time to Visit,Accessibility,Guided Tours,Parking,Nearby Amenities,Special Notes
The Rock Garden of Chandigarh,"Sector 1, Chandigarh city, UT Chandigarh, India",Sculpture Garden / Historic / Eco-art installation,https://chandigarh.gov.in/pages/page/rock-garden,https://en.wikipedia.org/wiki/Rock_Garden_of_Chandigarh,Chandigarh Railway Station — approx. 8 km,Sector 17 Inter State Bus Terminal / city bus stands in Sector 17 — distance approx. 4-5 km,No metro available,Chandigarh Airport — approx. 11 km,Summer (1 April to 30 September): 9:00 AM – 7:30 PM; Winter (1 October to 31 March): 9:00 AM – 6:00 PM,"Adults ₹30, Children ₹10",October to March,Well paved paths; moderate walking required; not fully wheelchair friendly,Local guides / audio guides in some seasons; signage available,On-site / near entrance parking available; small fees,"Cafeterias / food stalls, souvenir shops, restrooms; near Sukhna Lake",Sculptures made from recycled waste materials by Nek Chand; popular during Teej festival
Zakir Hussain Rose Garden,"Sector 16, Chandigarh city, UT Chandigarh, India",Botanical Garden / Natural Scenic Beauty / Cultural Garden,http://chandigarh.gov.in/,https://en.wikipedia.org/wiki/Zakir_Hussain_Rose_Garden,Chandigarh Railway Station — approx. 5-7 km,Sector 17 Bus Terminal / city buses in Sector 16 — very close (within a couple of km),No metro available,Chandigarh Airport — approx. 10-11 km,Daylight hours; usually open early morning till evening,Usually free for general access,February to March,Paved paths; relatively flat; more accessible for all,Not usually formal guided tours; signage gives information,Nearby parking in surrounding sectors; small local charges,"Cafés, shops, restrooms; close to Sector 17 market",One of the largest rose gardens in Asia; hosts annual Rose Festival
Sukhna Lake,"Sector 1, at foothills of Shivalik Hills, Chandigarh city, UT Chandigarh, India",Artificial reservoir / Natural Scenic / Recreation / Boating & Evening Walks,https://chandigarhtourism.gov.in/,https://en.wikipedia.org/wiki/Sukhna_Lake,Chandigarh Railway Station — approx. 6-8 km,Sector 17 Bus Terminal / city buses to Sector 1,No metro available,Chandigarh Airport — approx. 10-11 km,Generally dawn to dusk; specific boating hours,No general entry fee; boating / specific recreation features have charges,October to March,Good road access; paths and promenade are flat; suitable for walking,Informal guides; information booths; no regular guided tour service,Parking is available near lake promenade; small fees in some lots,Tea houses / cafeterias near promenade; restrooms; gardens; hotel and dining options close by,One of the iconic tourist spots of Chandigarh; great for sunrise/sunset views
Japanese Garden,"Sector 31-A, Chandigarh city, UT Chandigarh, India",Garden / Park / Themed Scenic Garden / Recreational spot,Not documented,"https://en.wikipedia.org/wiki/Japanese_Garden,_Chandigarh",Chandigarh Railway Station — approx. 10 km,Local city bus service; nearest bus stops in Sector 31,No metro available,Chandigarh Airport — approx. 10-12 km,Probably daylight hours (morning to evening),Usually free or minimal,October to March,Paved walking paths; generally flat; suitable for families,Not formally documented; local guides might mention gardens in city tours,Some parking nearby in Sector 31; local roads,"Benches, water bodies, landscaping; small kiosks","Themed in “Japanese style”; includes pagoda towers, waterfalls, reflecting pools"
Government Museum & Art Gallery,"Sector 10, Chandigarh city, UT Chandigarh, India",Museum / Art & History / Cultural Heritage,Not documented,"https://en.wikipedia.org/wiki/Government_Museum_and_Art_Gallery,_Chandigarh",Chandigarh Railway Station — approx. 4-5 km,Sector 17 / local city bus stops near Sector 10,No metro available,Chandigarh Airport — approx. 10-11 km,Typically open during usual museum hours,Not documented specific fee,October to March,Indoor galleries; likely accessible,Museum guides available; information panels,Museum has parking nearby/public parking in Sector 10,"Cafés, restrooms, gift-shops; close to other gardens and markets","Holds collections of Indian miniature paintings, Gandharan sculptures"
The Open Hand Monument,"Sector 1, Capitol Complex, Chandigarh city, UT Chandigarh, India",Monument / Symbol / Architectural Landmark,Not documented,https://en.wikipedia.org/wiki/Open_Hand_Monument,Chandigarh Railway Station — approx. 5-8 km,Sector 17 / city bus stands — approx. 3-5 km,No metro available,Chandigarh Airport — approx. 11 km,Daylight hours,Free,October-March,Paved walkways; overall moderate — not every area completely barrier-free,Via Capitol Complex-organized walks / guided heritage tours,Parking available in/near Capitol Complex,"Museums, lawns in Capitol Complex; refreshments in nearby sectors",Designed by Le Corbusier; symbol of Chandigarh; “hand to give and receive” theme
Manimajra Fort,"Manimajra town, Chandigarh UT (on boundary with Punjab)",Heritage Fort / Historical Monument,Not documented,Not clearly documented as separate page; mentioned in Chandigarh articles,Chandigarh Railway Station — approx. 7-10 km,Local bus stops in Manimajra; city buses connect,No metro available,Chandigarh Airport — approx. 12 km,Daylight hours,Free or minimal,October-March,Access via road; fort structure has stairs; not fully accessible for disabled visitors,Possibly arranged via local guides or heritage walks,Nearby roads / small parking spaces,"Local shops, eateries in Manimajra; small tea/refreshment stalls",Old fort; good for a quick heritage stop; less crowded compared to more popular sites
Burail Fort,"Sector 45, Chandigarh city, UT Chandigarh, India",Historical Fort / Monument (Ruins),Not documented,https://en.wikipedia.org/wiki/Burail_Fort,Chandigarh Railway Station — approx. 10-12 km,Local buses/stops near Sector 45; city buses,No metro available,Chandigarh Airport — approx. 15-20 km,Daylight hours; open site,Free,October-March,Ruined structure; uneven terrain; stairs; limited access for wheelchairs,Local historians / guide groups may include this in heritage walks,Nearby street parking; limited,"Sectors close by have shops, eateries; basic restrooms",Ancient fort; partly under ruin; offers viewpoints; connects to the old history of region pre-modern Chandigarh
Le Corbusier Centre,"Sector 19-B, Chandigarh city, UT Chandigarh, India",Museum / Heritage building / Architecture exhibition centre,Not documented,Not documented as full article; mentioned in multiple lists,Chandigarh Railway Station — approx. 5-7 km,Near Sector 19 bus stands; local city buses,No metro available,Chandigarh Airport — approx. 10-12 km,Not documented precise open hours; likely daytime,Not documented,October-March,Building accessible; some exhibits indoor; may have ramps,Architecture enthusiasts; possibly guide help available,Small parking near Sector 19,Cafés/shops in Sector 19; restrooms; local food stalls,"Dedicated to Le Corbusier’s planning / design; displays sketches, models; reflects Chandigarh’s architectural heritage"
Chattbir Zoo (Mahendra Chaudhary Zoological Park),"Near Chattbir, near ChandiMandir road, bordering Chandigarh / Punjab regions",Zoo / Wildlife / Walk-in Aviary & Animal Conservation Park,Not documented,https://en.wikipedia.org/wiki/Chhatbir_Zoo,Chandigarh Railway Station — approx. 20-25 km,Local bus stands in Chattbir / ChandiMandir road,No metro available,Chandigarh Airport — approx. 25-30 km,Likely opens in morning to evening,Fee for zoo entry; walk-in aviary; plus extra for special exhibits,October-March,Paths inside zoo; some exhibits easily accessible; terrain could be uneven,Guided by zoo staff; signage; animal feeding times available,On-site parking available,Small eateries inside zoo; refreshments; restrooms; shops for souvenirs,Largest zoo in area; walk-in aviary is popular; good for family and children
