Place,Type,District,Official Website,Wikipedia,Nearest Railway Station,Nearest Bus Stand,Nearest Metro Station,Nearest Airport,Timings,Entry Fee,Best Time to Visit,Accessibility,Guided Tours,Parking,Nearby Amenities,Special Notes
Shillong,Hill Station / City attraction,East Khasi Hills,https://megtourism.gov.in/,https://en.wikipedia.org/wiki/Shillong,Guwahati (Assam) — ~100 km (3 hrs by road),Shillong ISBT Mawiong — within city (~5 km from centre),No metro available,"Shillong Airport (Umroi) — ~30 km; Lokpriya Gopinath Bordoloi Airport, Guwahati — ~120 km","City open 24 hrs; attractions have different timings (Ward’s Lake, Don Bosco Museum, etc. 9:00–17:00)",City free; museums/parks ₹20–₹200 (varies),"Oct–May (pleasant weather, festivals, music)",City roads paved; moderate slopes; some tourist spots not wheelchair-friendly,Local taxi tours & Meghalaya Tourism guides available,Paid parking zones in Police Bazaar & commercial areas,"Restaurants, cafes, hotels, ATMs, shops","Known as “Scotland of the East”, hub of Khasi culture, music & festivals"
Cherrapunjee (Sohra),Hill station / Waterfalls / Caves,East Khasi Hills,https://megtourism.gov.in/,https://en.wikipedia.org/wiki/Cherrapunji,Guwahati — ~150 km (5 hrs road),Sohra bus stand,No metro available,Shillong Airport — ~55 km; Guwahati Airport — ~170 km,Open year-round (waterfalls peak in monsoon Jun–Sep),Free for town; waterfalls/caves have separate fees (₹20–₹100),Oct–May for views; Jun–Sep for waterfalls,Good roads; caves/root bridges require treks (moderate–difficult),Local guides available for caves & root bridges,Available near viewpoints; ₹20–₹50,"Guesthouses, eateries, small shops",One of the wettest places on Earth; known for Nohkalikai Falls & living root bridges
Nohkalikai Falls,Waterfall,near Cherrapunjee (Meghalaya),Not documented,https://en.wikipedia.org/wiki/Nohkalikai_Falls,Guwahati — ~150 km,Sohra bus stand — ~7 km,No metro available,Shillong Airport — ~60 km,8:00 AM – 5:00 PM (viewpoint timings),₹30 approx,Sep–Nov for full flow & clear skies,"Road up to parking, short walk to viewpoint (not wheelchair-friendly due to steps)",Available through Cherrapunjee taxi tours,"Parking near gate, ₹20–₹50","Tea stalls, shops, restrooms",Famous legend of “Noh Ka Likai” tied to Khasi folklore; tallest plunge waterfall in India (340 m)
Living Root Bridges,Eco-tourism / Trekking / Cultural heritage,Nongriat (Meghalaya),Not documented,https://en.wikipedia.org/wiki/Living_root_bridge,Guwahati — ~160 km,Sohra bus stand — ~10–12 km to Tyrna (trek start),No metro available,Shillong Airport — ~65 km,Trek accessible daylight hours only (~6 AM–4 PM),Trek fees ₹20–₹50,"Nov–Apr (safe trails, moderate weather)",~3500+ steps trek from Tyrna village; difficult for elderly & not wheelchair-friendly,Essential; local Khasi guides available at Tyrna/Nongriat,Limited at Tyrna village; ₹30–₹50,Homestays in Nongriat; tea stalls on trail,UNESCO tentative heritage; Double-decker bridge most famous
Dawki & Umngot River,River / Eco-tourism / Indo-Bangladesh border town,West Jaintia Hills,Not documented,https://en.wikipedia.org/wiki/Umngot_River,Guwahati — ~170 km,Dawki bus stand,No metro available,Shillong Airport — ~80 km; Guwahati Airport — ~200 km,Daylight hours; boating 8:00 AM – 4:00 PM,₹100–₹500 (boat ride charges),"Nov–Apr (river crystal clear, boating popular)",Road accessible; riverside steps; not wheelchair-friendly,Boatmen & guides available,"Available near riverside, ₹30–₹50","Border market, homestays, eateries",Famous for crystal-clear Umngot River — boats appear “floating in air” in photos
Mawlynnong Village,Eco-tourism / Rural tourism,East Khasi Hills,https://megtourism.gov.in/,https://en.wikipedia.org/wiki/Mawlynnong,Guwahati — ~170 km,Mawlynnong village bus stand,No metro available,Shillong Airport — ~90 km,Open year-round (homestay-based),Village entry ₹50 approx,Oct–Apr,"Road to village; walkable lanes (narrow, cobbled)",Village guides & eco-tour operators available,Parking near entrance; ₹30–₹50,"Homestays, local restaurants, eco-toilets","Awarded “Cleanest Village in Asia” — bamboo dustbins, eco-friendly living"
Umiam Lake (Barapani),Reservoir Lake / Water sports,Ri-Bhoi,Not documented,https://en.wikipedia.org/wiki/Umiam_Lake,Guwahati — ~90 km,Shillong ISBT Mawiong — ~15 km,No metro available,Shillong Airport — ~35 km,9:00 AM – 5:00 PM (water sports complex),₹20–₹50 for entry; boating/sports ₹100–₹500,Oct–May,Roadside stop on Guwahati–Shillong highway; lakefront moderate paths,Local boating operators,"Available at viewpoint, ₹20–₹50","Resorts, restaurants, washrooms","Scenic lake with boating, kayaking & zipline — popular photo spot before entering Shillong"
Mawsmai Cave,Limestone cave / Eco-tourism,Sohra (Meghalaya),Not documented,https://en.wikipedia.org/wiki/Mawsmai_Cave,Guwahati — ~150 km,Sohra bus stand — ~6 km,No metro available,Shillong Airport — ~55 km,9:00 AM – 5:30 PM,"₹20 adults, ₹10 children",Oct–Apr,Easy initial walk; narrow passages inside cave (not wheelchair accessible),Not mandatory; local guides explain formations,"Parking at cave entrance, ₹20","Shops, tea stalls, toilets",Popular tourist cave — limestone stalactites & stalagmites
Balpakram National Park,National Park / Wildlife,South Garo Hills,https://megtourism.gov.in/,https://en.wikipedia.org/wiki/Balpakram_National_Park,Guwahati — ~220 km; Mendipathar ~100 km,Baghmara town bus stand — ~45 km,No metro available,Guwahati Airport — ~220 km,Day visits (sunrise–sunset),Not documented (small eco-tourism fee may apply),"Nov–Mar (pleasant weather, wildlife sightings)",Mountainous roads; treks inside; not wheelchair-friendly,Forest guides available (mandatory in some zones),Village parking near entry,"Basic lodges, eco huts, shops in Baghmara",Called “Meghalaya’s Grand Canyon”; sacred site for Garo tribes
Elephant Falls,Waterfall (multi-tiered),near Shillong (Meghalaya),Not documented,https://en.wikipedia.org/wiki/Elephant_Falls,Guwahati — ~110 km,Shillong Bus Stand — ~12 km,No metro available,Shillong Airport — ~35 km,9:00 AM – 5:00 PM,₹30 approx,Monsoon (Jun–Sep) for peak flow,"Steps to reach lower tiers — moderate effort, not wheelchair-friendly",Not required,"Available near gate, ₹20–₹30","Tea stalls, souvenir shops, restrooms",Popular picnic spot; named after an old elephant-shaped rock (destroyed in earthquake)
