Name of Place,Location,Type,Official Website,Wikipedia,Nearest Railway Station,Distance (Railway),Nearest Bus Stand,Distance (Bus Stand),Nearest Metro Station,Nearest Airport,Distance (Airport),Timings,Entry Fee,Best Time to Visit,Accessibility,Guided Tours,Parking,Nearby Amenities,Special Notes
Red Fort,Old Delhi (National Capital Territory of Delhi),Historical Monument / UNESCO-era Fort,Not documented,Red Fort - Wikipedia,Old Delhi Railway Station,approx. 2 km,Chandni Chowk Bus Stand,approx. 1.5 km,Lal Qila Metro Station (Violet Line),Indira Gandhi International Airport,approx. 20 km,09:30 AM – 4:30 PM (Closed on Mondays / special events),"Indian Visitors ~₹35, Foreign Visitors ~₹550 (subject to ASI updates)",October–March,Partial wheelchair access; road access good but narrow lanes nearby,Local guides available in English/Hindi; ASI audio/guide options sometimes available,Limited nearby parking; paid parking around Chandni Chowk / Sunehri Masjid,"Chandni Chowk eateries, street food, small shops, public toilets",Iconic Mughal fort; Independence Day flag hoisting & official ceremonies held annually; heavy crowds during festivals and national events
Qutub Minar,Mehrauli (National Capital Territory of Delhi),Historical Monument / UNESCO World Heritage Site,ASI Qutub Minar,Qutub Minar - Wikipedia,Hazrat Nizamuddin Railway Station,approx. 9 km,Mehrauli Bus Stand,approx. 2 km,Qutub Minar Metro Station (Yellow Line),Indira Gandhi International Airport,approx. 17 km,7:00 AM – 5:00 PM (Sunrise to sunset; closed on certain national holidays),"Indian Visitors ~₹35, Foreign Visitors ~₹550–₹600 (subject to ASI updates)",October–March,Partial wheelchair access; some uneven pathways,Local guides available in English/Hindi; audio guide options sometimes available,Limited nearby parking,Cafes and restaurants nearby; restrooms; small shops,Part of Qutub complex with Iron Pillar; UNESCO World Heritage site; security checks enforced
India Gate & Kartavya Path,Central Delhi (National Capital Territory of Delhi),War Memorial / Open Monument / Park area,Not documented,India Gate - Wikipedia,New Delhi Railway Station,approx. 4 km,Rajpath / Janpath Bus Stops,approx. 1–2 km,Central Secretariat / Patel Chowk / Udyog Bhawan,Indira Gandhi International Airport,approx. 13 km,Open 24/7 (recommended visiting 5 AM – 9 PM),No entry fee,November–February,Wheelchair friendly; wide paved pathways,City guides and HOHO buses include India Gate,Nearby paid parking (Connaught Place / Raisina Hill),"Restaurants, cafes, souvenir stalls, restrooms",War memorial for WWI soldiers; heavy crowds on national holidays; popular for evening walks and photography
Humayun’s Tomb,Nizamuddin / Mathura Road (National Capital Territory of Delhi),Historical Monument / UNESCO World Heritage Site,Humayun’s Tomb - ASI,Humayun’s Tomb - Wikipedia,Hazrat Nizamuddin Railway Station,approx. 2 km,Nizamuddin Bus Stop,approx. 1 km,JLN Stadium Metro Station (Violet Line),Indira Gandhi International Airport,approx. 17 km,Sunrise to 7:30 PM daily,"Indian Visitors ~₹35, Foreign Visitors ~₹550–₹600; photography fees may apply",October–March,Garden pathways partially wheelchair-friendly; some uneven heritage paths,Local guides available; ASI signage and audio guides available,Nearby parking at Nizamuddin / Mathura Road,"Cafes, Nizamuddin Dargah precincts, restrooms, small shops",Mughal architecture precursor to Taj Mahal; UNESCO World Heritage Site; large gardens and tomb complexes
Lotus Temple (Bahá'í House of Worship),Kalkaji / Bahapur (National Capital Territory of Delhi),Religious / Temple / Architectural Attraction,Lotus Temple Official,Lotus Temple - Wikipedia,Hazrat Nizamuddin Railway Station,approx. 9 km,Kalkaji Bus Stop,approx. 500 m,Kalkaji Mandir Metro Station (Violet Line),Indira Gandhi International Airport,approx. 17 km,8:30 AM – 6:00 PM (Tuesday–Sunday; check official site for seasonal updates),Free,October–March,Wheelchair-friendly; garden pathways and meditation hall accessible,Volunteer staff explain visitor etiquette; formal guided tours generally not conducted inside the hall,Onsite/nearby parking,"Gardens, small cafes nearby, restrooms",Famous lotus-shaped architecture; open to people of all religions; photography and silence etiquette enforced
Jama Masjid,Old Delhi (National Capital Territory of Delhi),Religious / Mosque / Historical Monument,Not documented,Jama Masjid - Wikipedia,Old Delhi Railway Station,approx. 1.5 km,Chandni Chowk Bus Stop,approx. 1 km,Jama Masjid Metro Station (Heritage/Local),Indira Gandhi International Airport,approx. 20 km,7:00 AM – 12:00 PM & 1:30 PM – 6:30 PM (visiting outside prayer hours),Free (dress code mandatory),October–March,Stone steps; not fully wheelchair-friendly,Local guides available (English/Hindi),Very limited; use nearby paid parking at Chandni Chowk,"Famous street food (parathas, kebabs), markets (Chandni Chowk), shops, restrooms",One of India’s largest mosques; access restricted during prayer times and festivals
Chandni Chowk,Old Delhi Market & Heritage Area (National Capital Territory of Delhi),Market / Heritage Street / Food District,Not documented,Chandni Chowk - Wikipedia,Old Delhi Railway Station,approx. 1 km,Chandni Chowk Bus Stop,approx. 0.5 km,Chandni Chowk Metro Station (Yellow Line),Indira Gandhi International Airport,approx. 20 km,10:00 AM – 8:00 PM (varies; some early morning shops open),Free,October–March,Narrow lanes; not wheelchair-friendly in many parts; crowded,Heritage walks and food walks available (English/Hindi),Limited; park in nearby lots and walk,"Eateries, sweet shops, jewelry and textile shops, restrooms",Historic market near Red Fort & Jama Masjid; famous for street food and traditional shops
Connaught Place (Rajiv Chowk),Central Delhi (National Capital Territory of Delhi),Commercial Hub / Colonial Era Circle / Entertainment District,Not documented,Connaught Place - Wikipedia,New Delhi Railway Station,approx. 3 km,Connaught Place Bus Stand,approx. 0.5 km,Rajiv Chowk Metro Station (Blue & Yellow Lines),Indira Gandhi International Airport,approx. 16 km,Shops typically 10:00 AM – 10:00 PM,Free,October–March,Wheelchair-friendly in most areas; well-paved roads and pedestrian zones,Heritage walks and city tours include Connaught Place,Paid parking available,"Restaurants, cafes, pubs, shops, hotels, banks, restrooms",Iconic colonial-era commercial center; nightlife and shopping hub; cultural events occasionally
Akshardham Temple,Noida / East Delhi (National Capital Territory of Delhi),Religious / Temple / Cultural / Architectural Attraction,Akshardham Temple Official,Akshardham Temple - Wikipedia,New Delhi Railway Station,approx. 12 km,Akshardham Bus Terminal,approx. 0.5 km,Akshardham Metro Station (Blue Line),Indira Gandhi International Airport,approx. 17 km,9:30 AM – 6:30 PM (closed on Mondays),Free entry; exhibitions and boat ride charges vary (~₹100–₹150),October–March,Wheelchair-friendly; well-maintained paths,Available in multiple languages; audio guides and volunteer guides,Large onsite parking,"Cafes, souvenir shops, restrooms","Famous for intricate carvings, exhibitions, Yagnapurush Kund, and boat ride; evening fountain show"
Raj Ghat,Central Delhi (National Capital Territory of Delhi),Memorial / Historical / Open Monument,Raj Ghat - Delhi Tourism,Raj Ghat - Wikipedia,New Delhi Railway Station,approx. 5 km,Delhi Gate / Old Delhi Bus Stop,approx. 3 km,ITO Metro Station,Indira Gandhi International Airport,approx. 20 km,6:00 AM – 6:00 PM (all days),Free,October–March,Wheelchair-friendly; paved gardens,Local guides available; informative plaques onsite,Limited parking,Cafes/restrooms nearby; souvenir stalls,Memorial of Mahatma Gandhi; tranquil garden setting; floral tributes common
