Name,Location,Type,Official Website,Wikipedia,Nearest Railway Station,Nearest Bus Stand,Nearest Metro Station,Nearest Airport,Timings,Entry Fee,Best Time to Visit,Accessibility,Guided Tours,Parking,Nearby Amenities,Special Notes
"Kohima War Cemetery, Kohima (Nagaland)",Kohima (Nagaland),Historical Monument / War Memorial,Commonwealth War Graves,Kohima War Cemetery,Dimapur Railway Station (~74 km),Kohima Bus Stand (~2 km),No metro available,Dimapur Airport (~70 km),9:00 AM – 4:00 PM (daily),Free,October – April (pleasant weather),"Well-paved paths, wheelchair-friendly in main areas",Available via local guides; English/Hindi support,"Available, free/nominal","Cafes, shops, hotels, restrooms in Kohima town","Maintains graves of soldiers of WWII; famous epitaph “When You Go Home, Tell Them of Us and Say, For Your Tomorrow, We Gave Our Today.”"
"Dzukou Valley, Kohima District (Nagaland & Manipur border)",Kohima District (Nagaland & Manipur border),Valley / Trekking / Eco-Tourism,Not documented,Dzukou Valley,Dimapur Railway Station (~90 km + trek),Kohima Bus Stand (~25 km to trek base),No metro available,Dimapur Airport (~97 km),Trekking access during daylight; overnight camping allowed,₹50 Indians / ₹100 Foreigners (may vary),June – September (valley in full bloom); October – March (cool and dry for trekking),Trekking only; moderate difficulty; not wheelchair accessible,Available; local trekking guides (English/Hindi/Naga dialects),Limited at trek starting points (Viswema/Jakhama),"Homestays, small food stalls at base villages","Famous for Dzukou Lilies, rolling green meadows, camping under stars."
"Hornbill Festival (Kisama Heritage Village, Kohima District, Nagaland)","Kisama Heritage Village, Kohima District (Nagaland)",Cultural Festival / Heritage Village,Nagaland Tourism – Hornbill Festival,Hornbill Festival,Dimapur Railway Station (~80 km),Kohima Bus Stand (~12 km from Kisama),No metro available,Dimapur Airport (~74 km),1st–10th December (annual),"₹20–₹50 (general), extra for camera/video",December (festival dates),"Well-connected by road, hilly terrain; not fully wheelchair accessible",Cultural tours arranged by Nagaland Tourism/local operators,"Available near Kisama, paid (~₹50–₹100)","Food stalls, cultural shops, handicraft bazaars, hotels in Kohima","Known as the “Festival of Festivals”; showcases dances, crafts, indigenous sports, and cuisines of all 16 Naga tribes."
"Nagaland Zoological Park, Rangapahar (Chümoukedima District, Nagaland)","Rangapahar (Chümoukedima District, Nagaland)",Zoo / Eco-Tourism Destination,Nagaland Zoological Park,Nagaland Zoological Park,Dimapur Railway Station (~18 km),Dimapur Bus Stand (~20 km),No metro available,Dimapur Airport (~25 km),8:00 AM – 4:00 PM (closed on Mondays),"₹20 (Adults), ₹10 (Children), Camera ₹50",October – March (pleasant weather),Good road approach; partial wheelchair access,Zoo staff available; educational tours arranged,"Yes, nominal charges","Small canteen, restrooms; hotels/restaurants in Dimapur","Home to hornbills, hoolock gibbons, rare Himalayan species; popular with school groups."
"Pulie Badze Wildlife Sanctuary, Kohima District (Nagaland)",Kohima District (Nagaland),Wildlife Sanctuary / Trekking / Birdwatching,Not documented,Pulie Badze Wildlife Sanctuary,Dimapur Railway Station (~100 km),Kohima Bus Stand (~15 km to Jotsoma village),No metro available,Dimapur Airport (~110 km),Daylight hours,Not documented,March – June & September – November,Requires trek from Jotsoma; moderate difficulty; not wheelchair friendly,Local guides from Jotsoma available,Village-based; basic,Homestays in Kohima; small shops/restrooms in villages,Known for Blyth’s Tragopan (Nagaland’s state bird); scenic views of Kohima.
"Kohima Botanical Garden, Kohima (Nagaland)",Kohima (Nagaland),Botanical Garden / Scenic Spot,Not documented,Kohima Botanical Garden,Dimapur Railway Station (~75 km),Kohima Bus Stand (~3 km),No metro available,Dimapur Airport (~80 km),9:00 AM – 4:00 PM (daily),"Nominal (₹10–₹20, if applicable)",October – March,Easy paths; partly wheelchair accessible,Available by request; staff assist with plant info,Local roadside parking available,"Cafés, shops, restrooms in Kohima city",Offers panoramic city views; rich flora; popular for leisure and picnics.
"Khonoma Green Village, Kohima District (Nagaland)",Kohima District (Nagaland),Eco-Tourism / Tribal Village,Not documented,Khonoma,Dimapur Railway Station (~90 km),Kohima Bus Stand (~20 km to Khonoma),No metro available,Dimapur Airport (~95 km),Open all day; best in daylight,₹20–₹50 (community contribution),October – February,Good road; hilly terrain; not wheelchair friendly,Village tours with local guides/homestays,Basic parking at village entry,"Homestays, handicraft shops, local eateries",India’s first Green Village; strong conservation practices; rich Angami tribal culture.
"Shilloi Lake, Phek District (Nagaland)",Phek District (Nagaland),Natural Lake / Scenic Spot,Not documented,Shilloi Lake,Dimapur Railway Station (~230 km),Phek Bus Stand (~90 km),No metro available,Dimapur Airport (~250 km),Daylight hours,Free,October – March,Motorable road; last stretch rural roads; not wheelchair friendly,Local guides available from Phek villages,Available near lake; basic,Guest houses in Phek; small stalls near lake,Known as “Lake of Spirits”; cultural myths; scenic for photography.
"Wokha & Mount Tiyi, Wokha District (Nagaland)",Wokha District (Nagaland),Hill Station / Cultural Town / Trekking Spot,Not documented,Wokha,Dimapur Railway Station (~120 km),Wokha Bus Stand (in town),No metro available,Dimapur Airport (~150 km),Open all day,Free (trekking may have guide charges),November (Tokhu Emong festival); October – March for good weather,Good roads; trekking paths steep at Mount Tiyi; not wheelchair friendly,Available with local Lotha tribe guides,Town parking available; basic,"Markets, restaurants, rest houses in Wokha town","Known for orange orchards, Mount Tiyi trekking, and Lotha tribe’s Tokhu Emong festival."
"Tuophema Tourist Village, near Kohima (Nagaland)",near Kohima (Nagaland),Cultural Village / Eco-Tourism,Not documented,Not documented,Dimapur Railway Station (~80 km),Kohima Bus Stand (~35 km),No metro available,Dimapur Airport (~90 km),All day,"Community fee (~₹50, may vary)","October – February (festivals, cool weather)",Motorable road; village paths uneven; not wheelchair friendly,Village-run cultural programs and homestays,Village parking; basic,"Homestays, local eateries, restrooms","Preserves Angami traditions; traditional huts, food, crafts; immersive stay"
