Name,Location,Type,Official Website,Wikipedia,Nearest Railway Station,Nearest Bus Stand,Nearest Metro Station,Nearest Airport,Timings,Entry Fee,Best Time to Visit,Accessibility,Guided Tours,Parking,Nearby Amenities,Special Notes
"Ujjayanta Palace, Agartala (Tripura)",Agartala (Tripura),Historical Monument / Museum / Palace,tripuratourism.gov.in,Ujjayanta Palace,Agartala Railway Station – ~4 km,"Nagerjala Bus Stand, Agartala – ~2 km",No metro available,Maharaja Bir Bikram (Agartala) Airport – ~12 km,10:00 AM – 5:00 PM (Closed on Mondays & Holidays),"₹20 (Indian), ₹50 (Foreigners)",October – March (pleasant winter weather),"Good road connectivity, wheelchair accessible inside museum","Available in English, Hindi, Bengali",Available (~₹20 for cars),"Restaurants, cafes, hotels, restrooms, shops",Houses Tripura State Museum; Indo-Saracenic architecture; evening illumination enhances view.
"Neermahal, Melaghar (Tripura)",Melaghar (Tripura),Palace / Historical Monument,tripuratourism.gov.in,Neermahal,Udaipur Tripura Railway Station – ~20 km,Melaghar Bus Stand – ~3 km,No metro available,"Maharaja Bir Bikram Airport, Agartala – ~55 km",9:00 AM – 5:00 PM,"₹10 (Indians), ₹50 (Foreigners); boating extra (~₹30-₹100)",November – March (Winter cultural festival),"Road access, boats required to reach palace; not fully wheelchair accessible",Local guides available at palace and boating point,Available near Rudrasagar Lake (~₹20-₹30),"Lodges in Melaghar, eateries, shops, restrooms","“Lake Palace of Tripura”, Indo-Islamic architecture, famous for Neermahal Water Festival."
"Tripura Sundari Temple, Udaipur (Tripura)",Udaipur (Tripura),Temple / Religious Site,tripuratourism.gov.in,Tripura Sundari Temple,Udaipur Tripura Railway Station – ~3 km,Udaipur Bus Stand – ~1.5 km,No metro available,Agartala Airport – ~55 km,5:00 AM – 9:00 PM,Free,"November (Diwali Mela), Oct–March pleasant climate",Well-paved road; temple steps not fully wheelchair-friendly,Local priests and guides explain temple history,Available (~₹20-₹30),"Hotels, dharamshalas, shops, food stalls, restrooms",One of 51 Shakti Peethas; locally called “Matabari”; big Diwali fair attracts lakhs of pilgrims.
"Sepahijala Wildlife Sanctuary, Bishalgarh (Tripura)",Bishalgarh (Tripura),Wildlife Sanctuary / Zoo / Botanical Garden / Eco-Tourism,tripuratourism.gov.in,Sepahijala Wildlife Sanctuary,Bishalgarh Railway Station – ~5 km,Bishalgarh Bus Stand – ~3 km,No metro available,Agartala Airport – ~28 km,8:00 AM – 4:00 PM,"₹10 (Indian), ₹20 (Foreigners), boating/jeep safari extra",October – March (cooler weather),Good roads; internal paths partly rough; not fully wheelchair accessible,Forest guides available,Available (~₹30-₹50),"Forest guest house, restaurants, tea stalls, restrooms",Famous for clouded leopard; boating on Amrit Sagar lake; botanical gardens; picnic spot.
"Jampui Hills, North Tripura (Tripura)",North Tripura (Tripura),Hill Station / Eco-Tourism / Tribal Culture,Not documented (Tripura Tourism lists it),Jampui Hills,Dharmanagar Railway Station – ~70 km,Dharmanagar Bus Stand – ~65 km,No metro available,Agartala Airport – ~200 km,Open year-round,Free (nominal charges for some eco-parks),"October – February (orange harvest, clear skies)",Hilly roads; not wheelchair-friendly; some trekking paths,Local guides and homestay hosts,Basic village parking (~free/nominal),"Homestays, small restaurants, shops",“Seat of eternal spring”; orange festival; sunrise and sunset points.
"Unakoti, Kailashahar (North Tripura, Tripura)","Kailashahar (North Tripura, Tripura)",Archaeological Heritage / Rock Carvings / Pilgrimage,tripuratourism.gov.in,Unakoti,Dharmanagar Railway Station – ~30 km,Kailashahar Bus Stand – ~8 km,No metro available,Agartala Airport – ~178 km,Sunrise to Sunset,₹5 – ₹10 (nominal),October – March (pleasant weather),Forested trail; uneven terrain; not wheelchair accessible,Local guides available,Basic (~₹20-₹30),"Guest houses, eateries, restrooms in Kailashahar","Ancient rock-carved faces and idols; legend of “one less than a crore” (99,99,999 idols)."
"Dumboor Lake, Amarpur (Tripura)",Amarpur (Tripura),Lake / Eco-Tourism / Water Sports,tripuratourism.gov.in,Not documented,Udaipur Railway Station – ~120 km,Amarpur Bus Stand – ~30 km,No metro available,Agartala Airport – ~120 km,9:00 AM – 5:00 PM,Free; boating ~₹200 per person,"October – March (migratory birds, festivals)",Motorable roads; boating needed to explore islands,Local boatmen and guides,Available (~₹20-₹30),"Guest houses, small eateries, shops, restrooms",48 islands; Pous Sankranti festival at Tirthamukh; birdwatching paradise.
"Deotamura (Chabimura), Gomati District (Tripura)",Gomati District (Tripura),Archaeological / Rock Carvings / Heritage Site,tripura.gov.in,Not documented,Udaipur Railway Station – ~30 km,Udaipur Bus Stand – ~25 km,No metro available,Agartala Airport – ~75 km,Daylight hours,Free / nominal,October – March,Boat ride along Gomati River; trekking required; not wheelchair accessible,Local boatmen and guides,Near river bank (~₹20),"Small shops, restrooms, lodges in Udaipur",Rock carvings of Hindu deities on steep mountain walls; scenic river cruise.
"Tepania Eco-Park, Udaipur (Tripura)",Udaipur (Tripura),Eco-Park / Forest / Picnic Spot,tripuratourism.gov.in,Not documented,Udaipur Tripura Railway Station – ~5 km,Udaipur Bus Stand – ~3 km,No metro available,Agartala Airport – ~55 km,8:00 AM – 5:00 PM,₹10 – ₹20 (nominal),October – March,"Good roads; internal park trails, partly uneven; limited wheelchair facilities",Local guides available,Available (~₹20),"Lodges, eateries, restrooms","Tree house, hanging bridge, eco-tourism cottages."
"Baramura Eco-Park, Khowai District (Tripura)",Khowai District (Tripura),Eco-Park / Hill Forest / Scenic Viewpoint,tripuratourism.gov.in,Not documented,Agartala Railway Station – ~35 km,Local bus stand at Baramura – ~3 km,No metro available,Agartala Airport – ~40 km,9:00 AM – 5:00 PM,₹10 – ₹20 (nominal),October – March,Road access; hilly terrain; limited wheelchair access,Not documented,Available (~₹20),"Tea stalls, small shops, restrooms",Surrounded by Baramura Hills; scenic green forest park; quiet environment.
