state,state_code,place_name,category,description,timings,entry_fee,best_time,nearest_railway,nearest_bus,nearest_airport,metro_station,accessibility,guided_tours,parking,nearby_amenities,official_website,wikipedia,special_notes,source_file
Andaman and Nicobar Islands,AN,"Radhanagar Beach, Havelock Island (Andaman and Nicobar Islands)",Beach,nan,Open 24 hours,₹50 per person (environmental fee),November to May (pleasant weather and clear sea),No railway station available,No bus stand available on Havelock Island,"Veer Savarkar International Airport, Port Blair (approx. 55 km by sea and road)",No metro available,Accessible by ferry from Port Blair; road transport on the island available; wheelchair-friendly beach access limited due to natural terrain,"Available through local operators, mainly in English and Hindi",Available at ferry points on Havelock Island; charges vary (₹20-₹50),"Resorts, cafes, small eateries, shops, restrooms",,Radhanagar Beach,Famous for spectacular sunsets; awarded Asia’s Best Beach in 2004 by Time Magazine; pristine coral reefs ideal for snorkeling and diving.,andaman_nicobar_tourism_guide.csv
Andaman and Nicobar Islands,AN,"Cellular Jail, Port Blair (Andaman and Nicobar Islands)",Historical Monument / National Memorial,nan,9:00 AM to 5:00 PM (closed on Mondays),₹30 for Indians; ₹100 for foreigners,October to May (pleasant weather for sightseeing),No railway station available,"Phoenix Bay Bus Stand, Port Blair (approx. 3 km)","Veer Savarkar International Airport, Port Blair (approx. 5 km)",No metro available,Easily accessible by road; mostly wheelchair-friendly with ramps and paved paths,Available in multiple languages including English and Hindi; audio guides offered,Available near the site; free or nominal charges,"Cafes, souvenir shops, restrooms, small parks",Andaman.nic.in,Cellular Jail,"Known as ""Kala Pani,"" a colonial prison used by British to imprison freedom fighters; Light and Sound Show available in evenings depicting historical narratives.",andaman_nicobar_tourism_guide.csv
Andaman and Nicobar Islands,AN,"Mahatma Gandhi Marine National Park, Wandoor (Andaman and Nicobar Islands)",Marine National Park / Eco-Tourism Destination,nan,9:00 AM to 4:30 PM (seasonal closures may apply),₹100 per person (additional fees for snorkeling and boat rides),November to May (clear weather ideal for marine activities),No railway station available,Wandoor Bus Stand (approx. 3 km),"Veer Savarkar International Airport, Port Blair (approx. 30 km)",No metro available,Accessible by road; moderate trekking involved for some islands; not fully wheelchair-friendly,"Available, including snorkeling and glass-bottom boat tours with multilingual guides",Available at Wandoor jetty; nominal charges,"Basic restaurants, restrooms, souvenir shops near entrance",Andaman Forest Department,Mahatma Gandhi Marine National Park,Includes several islands with coral reefs and diverse marine life; snorkeling and scuba diving popular; eco-conservation efforts ongoing.,andaman_nicobar_tourism_guide.csv
Andaman and Nicobar Islands,AN,"Chidiya Tapu, Port Blair (Andaman and Nicobar Islands)",Bird Sanctuary / Nature Park / Beach,nan,6:00 AM to 6:00 PM,₹20 per person,November to February (migratory birds and pleasant weather),No railway station available,"Aberdeen Bus Stand, Port Blair (approx. 15 km)","Veer Savarkar International Airport, Port Blair (approx. 15 km)",No metro available,Accessible by road; wheelchair-friendly pathways limited,Local guides available; birdwatching tours,Available; free or nominal charges,"Small eateries, restrooms, shops",,Chidiya Tapu,"Known as the ""Sunset Point""; famous for birdwatching with species like sea eagles and kingfishers; also called the ""Bird Island.""",andaman_nicobar_tourism_guide.csv
Andaman and Nicobar Islands,AN,"Ross Island, Port Blair (Andaman and Nicobar Islands)",Historical Monument / Eco-Tourism Destination,nan,9:00 AM to 4:00 PM,₹50 per person (plus ₹100 for boat ride),October to May,No railway station available,"Aberdeen Bus Stand, Port Blair (approx. 3 km to jetty)","Veer Savarkar International Airport, Port Blair (approx. 5 km)",No metro available,Accessible by boat; walking required on uneven terrain; limited wheelchair access,Available with English and Hindi-speaking guides,Available near jetty; nominal charges,Cafes and shops near jetty area,,Ross Island,Former British administrative headquarters with ruins; known for deer sightings and historical buildings; underwater coral reefs nearby.,andaman_nicobar_tourism_guide.csv
Andaman and Nicobar Islands,AN,"Neil Island (Shaheed Dweep), Andaman District (Andaman and Nicobar Islands)",Beach / Eco-Tourism Destination,nan,Open 24 hours,₹30 (environmental fee),November to May,No railway station available,No bus stand available on Neil Island,"Veer Savarkar International Airport, Port Blair (approx. 40 km by sea and road)",No metro available,Accessible by ferry; road transport on island available; relatively easy terrain; limited wheelchair access,Local guides available; mostly in English and Hindi,Available at ferry points; nominal charges,"Resorts, cafes, small shops, restrooms",,Neil Island,"Known for its coral reefs, natural rock formations, and tranquil beaches; less crowded than Havelock.",andaman_nicobar_tourism_guide.csv
Andhra Pradesh,AP,Araku Valley,Hill Station / Scenic Valley / Tribal Culture / Parks / Museum,nan,nan,"Valley free; Tribal Museum ₹40 (adults), ₹20 (children)",October – March,Araku Railway Station (~120 km from Visakhapatnam),Araku Bus Stand (~1 km from town center),Visakhapatnam International Airport (~115 km),nan,Hilly terrain; some spots not wheelchair accessible,"Yes (Telugu, English, Hindi)",Available near Museum & Garden areas,"Tribal Museum, coffee shops, local dhabas, gardens",AP Tourism – Araku,nan,"Famous for Araku Coffee, Tribal Museum, Padmapuram Gardens, Chaparai Waterfalls",andhra_pradesh_tourist_places.csv
Andhra Pradesh,AP,Borra Caves,Natural Limestone Caves / Geological Site / Religious Shrine,nan,nan,"Adults ₹60, Children ₹45; Camera charges extra",October – February,Borra Guhalu Railway Station (~2 km),Borra Caves Bus Stop (~1 km),Visakhapatnam Airport (~90 km),nan,"Uneven cave floors, steps; not wheelchair friendly","Available at entrance (Telugu, Hindi, English)",Available near entrance (₹20–50),"Small eateries, souvenir stalls, restrooms",AP Tourism – Borra Caves,nan,Discovered by William King (1807); stalactites/stalagmites and Shiva shrine inside,andhra_pradesh_tourist_places.csv
Andhra Pradesh,AP,Belum Caves,Natural Underground Cave System / Geological Wonder / Historical Site,nan,nan,"Adults ₹65, Children ₹45; Camera charges extra",November – March,Tadipatri Railway Station (~30 km),Belum Caves Bus Stop (~0.5 km),"Kadapa Airport (~60 km), Bengaluru (~300 km)",nan,"Narrow passages, steps; not wheelchair friendly","Available at entrance (Telugu, Hindi, English)",Large parking area available,"AP Tourism Haritha Hotel, food stalls, restrooms",AP Tourism – Belum Caves,nan,Second-largest cave system in India; Buddhist relics; musical chamber,andhra_pradesh_tourist_places.csv
Andhra Pradesh,AP,Kolleru Lake & Bird Sanctuary,Freshwater Lake / Bird Sanctuary / Wildlife Attraction,nan,nan,₹10–₹30; boat rides extra,November – March,Eluru Railway Station (~15 km),Eluru Bus Stand (~15 km),Vijayawada Airport (~65 km),nan,Boat rides needed; basic wheelchair access at entry,Eco-guides available,Available near sanctuary entrances,"Rest areas, small eateries, eco-tourism huts",AP Forest Dept – Kolleru Sanctuary,nan,Largest freshwater lake in India; Ramsar wetland site,andhra_pradesh_tourist_places.csv
